idMso	Exists in Office Word 2010	Type in Office Word 2010	Label in Office Word 2010	Exists in Office Word 2013	Type in Office Word 2013	Label in Office Word 2013
LineSpacingMenu	1	menu	Line spacing	1	menu	Line spacing
LineStylesDialog	1	button	More Lines	1	button	More Lines
LineThickness	1	gallery	Thickness	1	gallery	Thickness
LineUp	1	button	Line Up	1	button	Line Up
LineUpExtend	1	button	Line Up Extend	1	button	Line Up Extend
LinkToPreviousClassic	1	button	Link to Previous	1	button	Link to Previous
ListBulletApply	1	button	Apply List Bullet	1	button	Apply List Bullet
ListCommands	1	button	List Commands	1	button	List Commands
ListDefineNew	1	button	Define New Multilevel List	1	button	Define New Multilevel List
ListDefineNewStyle	1	button	Define New List Style	1	button	Define New List Style
ListDemote	1	button	Demote List	1	button	Demote List
ListIndentsAdjust	0			1	button	Adjust List Indents
ListLevelGallery	1	gallery	Change List Level	1	gallery	Change List Level
ListNumFieldInsert	1	button	Insert ListNum Field	1	button	Insert ListNum Field
ListPromote	1	button	Promote List	1	button	Promote List
ListSetNumberingValue	1	button	Set Numbering Value	1	button	Set Numbering Value
LoadingServicesGroup	0			1	group	
Lock	1	toggleButton	Lock	1	toggleButton	Lock
LookUp	1	button	Look Up	1	button	Look Up
MacroPlay	1	button	Macros	1	button	Macros
MacroRecord	1	button	Record Macro	1	button	Record Macro
MacroRecordOrStop	1	button	Record Macro / Stop Recorder	1	button	Record Macro / Stop Recorder
MacroRecorderPause	1	button	Pause Recording	1	button	Pause Recording
MacroRecorderStop	1	button	Stop Recording	1	button	Stop Recording
MacroSecurity	1	button	Macro Security	1	button	Macro Security
Magnifier	1	checkBox	Magnifier	1	checkBox	Magnifier
MailDelete	1	button	Delete Mail	1	button	Delete Mail
MailMergeAddressBlockInsert	1	button	Address Block	1	button	Address Block
MailMergeAskToConvertChevrons	1	button	Mail Merge Ask To Convert Chevrons	1	button	Mail Merge Ask To Convert Chevrons
MailMergeAutoCheckForErrors	1	button	Auto Check for Errors	1	button	Check for Errors
MailMergeClearMergeType	1	toggleButton	Normal Word Document	1	toggleButton	Normal Word Document
MailMergeConvertChevrons	1	button	Mail Merge Convert Chevrons	1	button	Mail Merge Convert Chevrons
