idMso	Exists in Office Excel 2010	Type in Office Excel 2010	Label in Office Excel 2010	Exists in Office Excel 2013	Type in Office Excel 2013	Label in Office Excel 2013
ConditionalFormattingAboveAverage	1	button	Above Average	1	button	Above Average
ConditionalFormattingBelowAverage	1	button	Below Average	1	button	Below Average
ConditionalFormattingBottomNItems	1	button	Bottom 10 Items	1	button	Bottom 10 Items
ConditionalFormattingBottomNPercent	1	button	Bottom 10 %	1	button	Bottom 10 %
ConditionalFormattingClearMenu	1	menu	Clear Rules	1	menu	Clear Rules
ConditionalFormattingClearPivotTable	1	button	Clear Rules from This PivotTable	1	button	Clear Rules from This PivotTable
ConditionalFormattingClearSelectedCells	1	button	Clear Rules from Selected Cells	1	button	Clear Rules from Selected Cells
ConditionalFormattingClearSheet	1	button	Clear Rules from Entire Sheet	1	button	Clear Rules from Entire Sheet
ConditionalFormattingClearTable	1	button	Clear Rules from This Table	1	button	Clear Rules from This Table
ConditionalFormattingColorScalesGallery	1	gallery	Color Scales	1	gallery	Color Scales
ConditionalFormattingColorScalesMore	1	button	More Rules	1	button	More Rules
ConditionalFormattingDataBarsGallery	1	gallery	Data Bars	1	gallery	Data Bars
ConditionalFormattingDataBarsMoreOptions	1	button	More Rules	1	button	More Rules
ConditionalFormattingHighlightBetween	1	button	Between	1	button	Between
ConditionalFormattingHighlightCellsMenu	1	menu	Highlight Cells Rules	1	menu	Highlight Cells Rules
ConditionalFormattingHighlightDateOccuring	1	button	A Date Occurring	1	button	A Date Occurring
ConditionalFormattingHighlightDuplicateValues	1	button	Duplicate Values	1	button	Duplicate Values
ConditionalFormattingHighlightEqualTo	1	button	Equal To	1	button	Equal To
ConditionalFormattingHighlightGreaterThan	1	button	Greater Than	1	button	Greater Than
ConditionalFormattingHighlightLessThan	1	button	Less Than	1	button	Less Than
ConditionalFormattingHighlightRulesMore	1	button	More Rules	1	button	More Rules
ConditionalFormattingHighlightTextContaining	1	button	Text that Contains	1	button	Text that Contains
ConditionalFormattingIconSetsGallery	1	gallery	Icon Sets	1	gallery	Icon Sets
ConditionalFormattingIconSetsMore	1	button	More Rules	1	button	More Rules
ConditionalFormattingMenu	1	menu	Conditional Formatting	1	menu	Conditional Formatting
ConditionalFormattingNewRule	1	button	New Rule	1	button	New Rule
